	elf	EIN	tax_pd	subseccd	s501c3or4947a1cd	schdbind	politicalactvtscd	lbbyingactvtscd	subjto6033cd	dnradvisedfundscd	prptyintrcvdcd	maintwrkofartcd	crcounselingqstncd	hldassetsintermpermcd	rptlndbldgeqptcd	rptinvstothsecd	rptinvstprgrelcd	rptothasstcd	rptothliabcd	sepcnsldtfinstmtcd	sepindaudfinstmtcd	inclinfinstmtcd	operateschools170cd	frgnofficecd	frgnrevexpnscd	frgngrntscd	frgnaggragrntscd	rptprofndrsngfeescd	rptincfnndrsngcd	rptincgamingcd	operatehosptlcd	hospaudfinstmtcd	rptgrntstogovtcd	rptgrntstoindvcd	rptyestocompnstncd	txexmptbndcd	invstproceedscd	maintescrwaccntcd	actonbehalfcd	engageexcessbnftcd	awarexcessbnftcd	loantofficercd	grantoofficercd	dirbusnreltdcd	fmlybusnreltdcd	servasofficercd	recvnoncashcd	recvartcd	ceaseoperationscd	sellorexchcd	ownsepentcd	reltdorgcd	intincntrlcd	orgtrnsfrcd	conduct5percentcd	compltschocd	f1096cnt	fw2gcnt	wthldngrulescd	noemplyeesw3cnt	filerqrdrtnscd	unrelbusinccd	filedf990tcd	frgnacctcd	prohibtdtxshltrcd	prtynotifyorgcd	filedf8886tcd	solicitcntrbcd	exprstmntcd	providegoodscd	notfydnrvalcd	filedf8282cd	f8282cnt	fndsrcvdcd	premiumspaidcd	filedf8899cd	filedf1098ccd	excbushldngscd	s4966distribcd	distribtodonorcd	initiationfees	grsrcptspublicuse	grsincmembers	grsincother	filedlieuf1041cd	txexmptint	qualhlthplncd	qualhlthreqmntn	qualhlthonhnd	rcvdpdtngcd	filedf720cd	totreprtabled	totcomprelatede	totestcompf	noindiv100kcnt	nocontractor100kcnt	totcntrbgfts	prgmservcode2acd	totrev2acola	prgmservcode2bcd	totrev2bcola	prgmservcode2ccd	totrev2ccola	prgmservcode2dcd	totrev2dcola	prgmservcode2ecd	totrev2ecola	totrev2fcola	totprgmrevnue	invstmntinc	txexmptbndsproceeds	royaltsinc	grsrntsreal	grsrntsprsnl	rntlexpnsreal	rntlexpnsprsnl	rntlincreal	rntlincprsnl	netrntlinc	grsalesecur	grsalesothr	cstbasisecur	cstbasisothr	gnlsecur	gnlsothr	netgnls	grsincfndrsng	lessdirfndrsng	netincfndrsng	grsincgaming	lessdirgaming	netincgaming	grsalesinvent	lesscstofgoods	netincsales	miscrev11acd	miscrevtota	miscrev11bcd	miscrevtot11b	miscrev11ccd	miscrevtot11c	miscrevtot11d	miscrevtot11e	totrevenue	grntstogovt	grnsttoindiv	grntstofrgngovt	benifitsmembrs	compnsatncurrofcr	compnsatnandothr	othrsalwages	pensionplancontrb	othremplyeebenef	payrolltx	feesforsrvcmgmt	legalfees	accntingfees	feesforsrvclobby	profndraising	feesforsrvcinvstmgmt	feesforsrvcothr	advrtpromo	officexpns	infotech	royaltsexpns	occupancy	travel	travelofpublicoffcl	converconventmtng	interestamt	pymtoaffiliates	deprcatndepletn	insurance	othrexpnsa	othrexpnsb	othrexpnsc	othrexpnsd	othrexpnse	othrexpnsf	totfuncexpns	nonintcashend	svngstempinvend	pldgegrntrcvblend	accntsrcvblend	currfrmrcvblend	rcvbldisqualend	notesloansrcvblend	invntriesalesend	prepaidexpnsend	lndbldgsequipend	invstmntsend	invstmntsothrend	invstmntsprgmend	intangibleassetsend	othrassetsend	totassetsend	accntspayableend	grntspayableend	deferedrevnuend	txexmptbndsend	escrwaccntliabend	paybletoffcrsend	secrdmrtgsend	unsecurednotesend	othrliabend	totliabend	unrstrctnetasstsend	temprstrctnetasstsend	permrstrctnetasstsend	capitalstktrstend	paidinsurplusend	retainedearnend	totnetassetend	totnetliabastend	nonpfrea	totnooforgscnt	totsupport	gftgrntsrcvd170	txrevnuelevied170	srvcsval170	pubsuppsubtot170	exceeds2pct170	pubsupplesspct170	samepubsuppsubtot170	grsinc170	netincunreltd170	othrinc170	totsupp170	grsrcptsrelated170	totgftgrntrcvd509	grsrcptsadmissn509	grsrcptsactivities509	txrevnuelevied509	srvcsval509	pubsuppsubtot509	rcvdfrmdisqualsub509	exceeds1pct509	subtotpub509	pubsupplesub509	samepubsuppsubtot509	grsinc509	unreltxincls511tx509	subtotsuppinc509	netincunrelatd509	othrinc509	totsupp509
101186	Y	592788473	201512	3	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0	N	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108052	88855	19197	0	0	0	98484	75167	23317	453220	1456	0	0	0	0	0	1456	45061	0	0	0	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	3940	0	0	0	0	0	3229	0	0	0	0	3977	677	4220	0	0	706	18549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101503	Y	611313520	201512	3	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0	N	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962179	0	0	0	0	0	0	0	0	0	5510360	0	5244934	0	265426	0	265426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227605	50000	0	0	0	0	0	0	0	0	0	0	255233	3540	0	0	88140	0	0	0	0	0	0	0	0	0	0	0	0	0	5998	71	0	0	0	0	402982	0	173991	0	0	0	0	8750000	0	0	0	26156993	0	0	0	0	35080984	0	0	0	0	0	0	0	0	0	0	35080984	0	0	0	0	0	35080984	35080984	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101821	Y	453032246	201509	3	Y	Y	N	Y	N	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	Y	0	0	Y	10	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	175731	3607017	249190	1	0	88490	541700	412836	0	0	0	0	0	0	0	0	0	412836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501326	0	0	0	0	209756	0	445571	17631	59993	41628	0	0	0	0	0	0	42717	0	18020	0	0	0	5584	0	19102	0	0	2111	0	11635	8287	221	0	0	0	882256	401	0	0	61650	0	0	0	0	1333	18930	0	0	0	0	0	82314	72254	0	3500	0	0	0	0	0	1784055	1859809	-1777495	0	0	0	0	0	-1777495	82314	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101992	Y	133194182	201509	3	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0	N	7	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	794785	0	0	0	0	0	0	0	0	0	0	0	0	3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797985	0	0	0	0	0	0	221469	0	0	28109	0	0	8760	0	0	0	0	2500	0	0	0	11862	346	0	143066	0	0	852	4065	20967	19527	12788	11460	0	53351	539122	1041565	0	0	0	0	0	0	0	0	2536	101483	0	0	0	0	1145584	26237	0	0	0	0	0	0	0	0	26237	1036338	83009	0	0	0	0	1119347	1145584	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102367	Y	954002032	201603	3	Y	Y	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	Y	N	N	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	36	0	Y	89	Y	Y	Y	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	2759446	0	239292	45	2	1124238	900099	926616	0	0	0	0	0	0	0	0	0	926616	1984818	0	23399	0	0	0	0	0	0	0	113884766	6734	113002730	6447	882036	287	882323	175000	582757	-407757	0	0	0	0	0	0	999999	6898	0	0	0	0	0	6898	4540535	7000	0	0	0	1929622	0	7443968	126978	757836	609108	0	1829060	107870	0	0	346652	880005	0	1119515	368882	0	999276	125223	0	31068	0	0	322905	98753	79551	69938	0	0	0	0	17253210	1430225	1335933	0	78448	0	0	0	0	323181	1474588	44957810	31674112	0	736306	102831	82113434	1777475	0	0	0	0	0	6379520	0	0	8156995	73956439	0	0	0	0	0	73956439	82113434	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102485	Y	256065235	201606	3	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0	N	1	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	9010	0	0	0	0	898	0	0	0	0	0	0	0	0	0	0	0	0	13690	0	0	0	0	0	0	0	0	0	0	0	36586	0	-36586	0	-36586	0	0	0	0	0	0	0	0	0	900099	467	0	0	0	0	0	467	-21531	0	0	0	0	9010	0	0	0	0	931	0	0	385	0	0	0	0	0	2152	0	0	0	0	0	0	0	0	0	0	29000	10273	6965	3038	0	4115	65869	50828	0	0	0	0	0	0	0	0	0	0	0	1109807	0	0	1160635	801	0	0	0	0	0	0	0	0	801	1159834	0	0	0	0	0	1159834	1160635	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104849	Y	10556103	201512	3	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0	N	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	105100	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105122	0	0	0	0	0	0	0	0	0	0	0	20714	0	0	0	0	75732	0	1503	0	0	0	2005	0	0	0	0	5848	2499	15192	0	0	0	0	0	123493	133817	0	0	0	0	0	0	0	0	8773	0	0	0	0	0	142590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142590	142590	142590	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105440	Y	330935065	201509	3	Y	Y	N	Y	N	N	N	N	N	N	Y	N	N	Y	Y	Y	Y	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	Y	Y	N	N	Y	51	0	Y	66	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	2558982	0	213273	15	1	9976003	900099	1062290	900099	28600	0	0	0	0	0	0	0	1090890	11461	0	0	212864	0	0	0	212864	0	212864	0	0	0	243	0	-243	-243	0	0	0	0	0	0	0	0	0	900099	2130	0	0	0	0	0	2130	11293105	375435	0	160004	0	1782714	0	3620972	198708	540474	361999	0	52966	41783	20004	0	0	1110886	0	588822	41476	0	1262200	500313	0	147734	0	0	180129	56891	124835	38902	13389	3019	0	37334	11260989	455379	9840154	1812802	275337	0	0	0	0	283476	415692	0	0	0	49751	703786	13836377	742232	0	0	0	0	0	0	0	5111754	5853986	7761571	220820	0	0	0	0	7982391	13836377	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107376	Y	133434924	201512	3	Y	Y	N	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	36	0	Y	125	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	1577107	1084608	1024520	15	0	14886215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900099	129678	900099	13530	0	0	0	143208	15029423	0	0	0	0	732028	0	5433587	457273	921557	395554	0	17472	31225	0	0	0	0	0	1257262	209914	0	0	170856	0	48738	106101	0	1487189	58712	21218	1734680	2011518	1524116	0	0	16619000	1332507	0	1367015	0	0	0	0	0	216322	9158114	0	0	0	0	283055	12357013	1030454	0	1837187	0	0	0	5211912	0	0	8079553	4277460	0	0	0	0	0	4277460	12357013	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107554	Y	222521881	201512	3	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	2	0	N	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6707	0	0	0	0	0	0	0	0	0	64519	0	64889	0	-370	0	-370	217817	62804	155013	0	0	0	0	0	0	900099	-21809	0	0	0	0	0	-21809	139541	0	0	0	0	0	0	0	0	0	0	0	0	3500	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	143700	23886	150	91	0	46	171432	127636	1451362	0	0	0	0	0	0	0	0	107042	0	0	0	0	1686040	0	0	0	0	0	0	0	0	0	0	1686040	0	0	0	0	0	1686040	1686040	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108127	Y	133699250	201512	3	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	23	0	N	47	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	930314	0	0	0	3382768	0	0	0	0	0	0	0	0	0	0	0	0	9142	0	0	0	0	0	0	0	0	0	25000	0	24849	0	151	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3392061	0	0	0	0	0	0	1426112	0	119254	137301	0	1722	17140	0	0	0	973111	13023	27095	30107	0	0	80718	0	17285	0	0	10039	3933	631122	40045	17980	14994	0	31611	3592592	668409	1588904	1639578	0	0	0	0	0	21036	21483	252363	0	0	0	1460	4193233	234428	0	0	0	0	0	0	0	0	234428	1164830	2793975	0	0	0	0	3958805	4193233	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108471	Y	200151538	201512	3	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	0	0	N	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	7700	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32146	0	0	0	0	0	0	0	0	0	0	405712	0	0	0	437858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437858	437858	437858	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108776	Y	222240867	201512	3	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	3	0	Y	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	6000	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	549536	0	0	0	0	0	0	0	0	0	7206251	0	6699963	0	506288	0	506288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1055947	569758	0	0	0	6000	0	0	0	0	0	0	5820	4576	0	0	81517	0	0	810	0	0	0	5505	0	17994	0	0	366	0	222488	750	384	183	0	98	916249	1926	1460685	0	69177	0	0	0	0	0	321	20141420	0	0	0	0	21673529	296669	0	0	0	0	0	0	0	0	296669	21376860	0	0	0	0	0	21376860	21673529	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110346	Y	201002571	201512	3	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0	N	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10001	0	0	0	0	0	0	0	0	0	0	0	0	1625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3559	150	10	175	0	0	0	5519	5410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5410	5410	5410	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110887	Y	226034938	201512	3	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0	N	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0	0	23371	0	0	0	0	0	0	0	0	0	301418	0	300881	0	537	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24558	10500	0	0	0	0	0	0	0	0	0	0	0	2650	0	0	8019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21169	40873	0	0	0	0	0	0	0	0	0	0	472087	0	0	0	512960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512960	512960	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110932	Y	330865249	201512	3	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	4	0	N	4	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	120000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77741	30009	0	0	0	0	0	0	0	0	1203925	0	1148440	0	55485	0	55485	0	0	0	0	0	0	0	0	0	541700	62456	0	0	0	0	0	62456	225691	0	0	0	0	0	0	282206	0	0	22516	0	0	10000	0	0	18559	0	0	0	3767	0	20843	0	0	0	0	0	1162	0	20404	9361	5547	3646	0	15305	413316	5572	3328094	0	0	0	0	0	0	0	2288	0	0	0	0	0	3335954	0	0	0	0	0	0	0	0	0	0	0	0	0	1029318	0	2306636	3335954	3335954	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112465	Y	264443340	201512	3	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	Y	44	0	N	37	Y	Y	Y	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	4158520	1070518	1329765	23	19	25	900099	67790673	0	0	0	0	0	0	0	0	0	67790673	236327	0	1519442	0	0	0	0	0	0	0	0	33450	0	87572	0	-54122	-54122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69492345	0	0	0	0	3594205	0	3175888	0	607966	214274	0	726736	68072	0	0	0	2320381	1699937	243584	86289	0	371247	499445	0	0	0	0	245114	475646	1330929	204208	29904	0	0	0	15893825	1126456	20963852	0	1625320	0	0	0	0	1018535	714885	79202689	1000	0	0	101295	104754032	3540331	0	32790698	0	0	0	0	0	0	36331029	68423003	0	0	0	0	0	68423003	104754032	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113126	Y	330331855	201509	3	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	15	0	N	104	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	116561	1124740	0	1	0	5237648	0	0	0	0	0	0	0	0	0	0	0	0	36575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5274223	0	0	0	0	118077	0	2573737	0	0	0	0	0	0	0	0	0	0	235	26445	0	0	0	85303	0	55113	0	0	52465	11555	982251	414850	403962	26032	0	14690	4764715	50401	5585351	904577	0	0	0	0	0	0	78561	0	0	0	0	0	6618890	370774	0	2385	0	0	0	0	0	0	373159	5830266	415465	0	0	0	0	6245731	6618890	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114003	Y	453682796	201508	3	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	21	0	Y	139	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	491104	0	67832	2	1	20684	541700	67448642	0	0	0	0	0	0	0	0	0	67448642	18001	0	0	0	0	0	0	0	0	0	18980	0	20660	0	-1680	0	-1680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67485647	0	0	0	0	555636	0	7388110	37513	854956	644701	338545	358806	127095	0	0	0	660507	0	507864	892978	150794	2503559	97818	0	19602	1153	0	1213624	68029	15000000	6718459	3956630	695411	0	658908	43450698	300	30519292	2682559	0	0	0	0	0	491414	6087683	0	0	0	463419	11235	40255902	2638536	0	7810331	0	0	0	0	0	861886	11310753	28945149	0	0	0	0	0	28945149	40255902	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115732	Y	462179824	201512	3	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	0	0	N	0	N	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	0	0	0	0	0	1021048	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1021087	1000000	0	0	0	0	0	0	0	0	0	0	0	650	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000782	56390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56390	56390	56390	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115940	Y	208877231	201512	3	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	5	0	N	9	Y	N	N	N	N	N	N	N	N	N	N	N	0	N	N	N	N	N	N	N	0	0	0	0	N	0	N	0	0	N	N	168479	0	5054	1	1	990843	531120	344325	541700	61464	541700	37490	0	0	0	0	0	443279	7307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1441429	25000	0	0	0	168479	0	321912	0	87644	41359	0	1640	20106	0	0	0	39305	54231	14595	45958	0	288393	19582	0	24216	17441	0	513300	27289	73347	54869	14268	12473	0	33698	1899105	1595951	0	1492275	50580	0	0	0	74017	103234	1573952	0	0	0	0	35405	4925414	10080	0	1527949	0	0	0	342441	0	387985	2268455	2656959	0	0	0	0	0	2656959	4925414	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
